Ensembl Gene ID	Ensembl Protein ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
YBR078W	YBR078W	II	393123	394742	ECM33
YDL083C	YDL083C	IV	306926	307789	RPS16B
YLR338W	YLR338W	XII	804346	805203	OPI9
YHL050C	YHL050C	VIII	445	3311	
YLR220W	YLR220W	XII	576825	577793	CCC1
YOR073W	YOR073W	XV	464771	466543	SGO1
YPL023C	YPL023C	XVI	504339	506312	MET12
YDR026C	YDR026C	IV	492556	494268	NSI1
YDR261C	YDR261C	IV	977521	979209	EXG2
YMR149W	YMR149W	XIII	560996	561856	SWP1
YCL061C	YCL061C	III	18816	22106	MRC1
YFL022C	YFL022C	VI	93499	95010	FRS2
YAL007C	YAL007C	I	137698	138345	ERP2
YIL033C	YIL033C	IX	290419	291669	BCY1
YIL001W	YIL001W	IX	353940	355481	
YOR167C	YOR167C	XV	648804	649007	RPS28A
YDL027C	YDL027C	IV	403695	404957	
YGL192W	YGL192W	VII	142246	144048	IME4
YOR100C	YOR100C	XV	513295	514278	CRC1
YDR288W	YDR288W	IV	1037195	1038106	NSE3
YIR005W	YIR005W	IX	364889	365335	IST3
YIR036C	YIR036C	IX	422074	422865	IRC24
YNL204C	YNL204C	XIV	258375	259277	SPS18
YBL107C	YBL107C	II	9961	10551	MIX23
YBL048W	YBL048W	II	127299	127610	RRT1
YKR103W	YKR103W	XI	653080	656736	NFT1
YDL205C	YDL205C	IV	92762	93745	HEM3
YHR204W	YHR204W	VIII	506319	508709	MNL1
YJL032W	YJL032W	X	386348	386662	
YGL144C	YGL144C	VII	232450	234507	ROG1
YBR117C	YBR117C	II	474392	476437	TKL2
YBR088C	YBR088C	II	424990	425766	POL30
YFL042C	YFL042C	VI	45720	47744	
YFR006W	YFR006W	VI	156145	157752	
YNL300W	YNL300W	XIV	65744	66052	TOS6
YDR022C	YDR022C	IV	488072	488662	ATG31
YPL108W	YPL108W	XVI	348446	348952	
YKL205W	YKL205W	XI	50051	53353	LOS1
YOL016C	YOL016C	XV	294777	296120	CMK2
YHR042W	YHR042W	VIII	190543	192618	NCP1
YPL158C	YPL158C	XVI	252034	254310	AIM44
YPR002W	YPR002W	XVI	558385	559935	PDH1
YFR009W-A	YFR009W-A	VI	163875	164132	
YLR366W	YLR366W	XII	855538	855843	
YKL105C	YKL105C	XI	239185	242583	SEG2
YPL052W	YPL052W	XVI	458799	459678	OAZ1
YDR261C-D	YDR261C-D	IV	987534	992349	
YBR241C	YBR241C	II	702589	704055	
YMR047C	YMR047C	XIII	363364	366705	NUP116
YOR235W	YOR235W	XV	779870	780184	IRC13
YGR102C	YGR102C	VII	694584	695135	GTF1
YER131W	YER131W	V	423952	424311	RPS26B
YBR056W-A	YBR056W-A	II	351255	351455	
YNL293W	YNL293W	XIV	80640	82541	MSB3
YPL027W	YPL027W	XVI	499665	500402	SMA1
YDR209C	YDR209C	IV	871036	871449	
YPR155C	YPR155C	XVI	835563	837413	NCA2
YNR046W	YNR046W	XIV	707788	708195	TRM112
YPL177C	YPL177C	XVI	213042	213962	CUP9
YLR314C	YLR314C	XII	762575	764137	CDC3
YOR248W	YOR248W	XV	798013	798315	
YKL013C	YKL013C	XI	417508	418023	ARC19
YJL136W-A	YJL136W-A	X	156169	156252	
YMR315W-A	YMR315W-A	XIII	904286	904393	
Q0017	Q0017	Mito	4254	4415	
YNR066C	YNR066C	XIV	753725	755035	
YLL044W	YLL044W	XII	48216	48662	
YER153C	YER153C	V	474041	474805	PET122
YNL003C	YNL003C	XIV	624975	625829	PET8
YAR035C-A	YAR035C-A	I	192337	192417	
YBL030C	YBL030C	II	163041	163997	PET9
YLR276C	YLR276C	XII	695046	696830	DBP9
YNR055C	YNR055C	XIV	728426	730186	HOL1
YDL155W	YDL155W	IV	176773	178056	CLB3
YDR455C	YDR455C	IV	1367373	1367681	
YPL065W	YPL065W	XVI	427927	428655	VPS28
YOR295W	YOR295W	XV	869208	869894	UAF30
YBR111C	YBR111C	II	461178	461873	YSA1
YGR105W	YGR105W	VII	698599	698832	VMA21
YJR027W	YJR027W	X	472760	478028	
YJL061W	YJL061W	X	320016	322157	NUP82
YGR066C	YGR066C	VII	620921	621799	
YHR182C-A	YHR182C-A	VIII	470939	471412	
YGR101W	YGR101W	VII	693363	694403	PCP1
YJL212C	YJL212C	X	33850	36249	OPT1
YOR067C	YOR067C	XV	451729	453462	ALG8
YFR039C	YFR039C	VI	232012	233544	OSW7
YER183C	YER183C	V	553334	553969	FAU1
YNL012W	YNL012W	XIV	609686	611665	SPO1
YER172C-A	YER172C-A	V	536275	536655	
YBR151W	YBR151W	II	545028	545978	APD1
YLR105C	YLR105C	XII	347047	348180	SEN2
YDL100C	YDL100C	IV	282112	283176	GET3
YOL163W	YOL163W	XV	9597	10106	
YJL006C	YJL006C	X	423138	424109	CTK2
YDR301W	YDR301W	IV	1063352	1067425	CFT1
YGR250C	YGR250C	VII	991176	993521	
YMR041C	YMR041C	XIII	350966	351973	ARA2
YDR511W	YDR511W	IV	1470017	1470418	SDH7
YLR460C	YLR460C	XII	1059757	1060887	
YPR011C	YPR011C	XVI	583062	584042	
YIL078W	YIL078W	IX	212499	214703	THS1
YDL032W	YDL032W	IV	393690	394001	
YNR053C	YNR053C	XIV	721120	723112	NOG2
YIL039W	YIL039W	IX	278426	279847	TED1
YDR071C	YDR071C	IV	588827	589402	PAA1
YDL043C	YDL043C	IV	375680	376480	PRP11
YFR047C	YFR047C	VI	244279	245166	BNA6
YCR011C	YCR011C	III	133724	136873	ADP1
YCR077C	YCR077C	III	250238	252628	PAT1
YKL090W	YKL090W	XI	271878	273209	CUE2
YJL203W	YJL203W	X	53341	54183	PRP21
YOL117W	YOL117W	XV	97551	99488	RRI2
YHR139C	YHR139C	VIII	378219	379199	SPS100
YGL081W	YGL081W	VII	357377	358339	
YDR178W	YDR178W	IV	817950	818495	SDH4
YOR328W	YOR328W	XV	931803	936497	PDR10
YLL061W	YLL061W	XII	17956	19707	MMP1
YBL045C	YBL045C	II	134143	135516	COR1
YLR149C	YLR149C	XII	437631	439823	
YLR207W	YLR207W	XII	556788	559289	HRD3
YMR208W	YMR208W	XIII	684467	685798	ERG12
YOR034C	YOR034C	XV	394837	397086	AKR2
YLR041W	YLR041W	XII	229377	229697	
YLR437C	YLR437C	XII	1011622	1012023	DIF1
YNR019W	YNR019W	XIV	665339	667267	ARE2
YPL235W	YPL235W	XVI	103232	104647	RVB2
YBR119W	YBR119W	II	479338	480323	MUD1
YCL020W	YCL020W	III	85102	86418	
YFL010C	YFL010C	VI	115108	115743	WWM1
YER068W	YER068W	V	293050	294813	MOT2
YAL009W	YAL009W	I	135854	136633	SPO7
YDR469W	YDR469W	IV	1399015	1399542	SDC1
YOL082W	YOL082W	XV	168727	169974	ATG19
YJR067C	YJR067C	X	567019	567444	YAE1
YDR424C	YDR424C	IV	1319387	1319841	DYN2
YPL226W	YPL226W	XVI	121767	125357	NEW1
YFR002W	YFR002W	VI	150016	152535	NIC96
YHR146W	YHR146W	VIII	390300	391697	CRP1
YAR023C	YAR023C	I	179281	179820	
YFR017C	YFR017C	VI	182274	182861	IGD1
YOR065W	YOR065W	XV	447439	448368	CYT1
YHL030W-A	YHL030W-A	VIII	39074	39535	
YPL122C	YPL122C	XVI	319226	320767	TFB2
YPL222C-A	YPL222C-A	XVI	131870	132115	
YIL045W	YIL045W	IX	271161	272777	PIG2
YGL072C	YGL072C	VII	371003	371362	
YER186C	YER186C	V	561705	562625	
YOR011W	YOR011W	XV	349679	353863	AUS1
YGL121C	YGL121C	VII	280777	281157	GPG1
YFR034W-A	YFR034W-A	VI	226022	226309	
YOR038C	YOR038C	XV	402761	405388	HIR2
YIL021C-A	YIL021C-A	IX	313199	313468	
YIL103W	YIL103W	IX	171751	173028	DPH1
YCR047C	YCR047C	III	210718	211545	BUD23
YJR017C	YJR017C	X	466521	467033	ESS1
YKR048C	YKR048C	XI	525387	526640	NAP1
YMR099C	YMR099C	XIII	463934	464827	
YOL085W-A	YOL085W-A	XV	161579	161791	
YPR113W	YPR113W	XVI	752257	752919	PIS1
YDL022C-A	YDL022C-A	IV	409808	410056	
YGR120C	YGR120C	VII	730033	730821	COG2
YDR423C	YDR423C	IV	1318046	1319275	CAD1
YLR190W	YLR190W	XII	535214	536689	MMR1
YPL011C	YPL011C	XVI	533642	534703	TAF3
YKL212W	YKL212W	XI	34543	36414	SAC1
YGL156W	YGL156W	VII	210416	213667	AMS1
YDR063W	YDR063W	IV	578663	579112	AIM7
YPL082C	YPL082C	XVI	398480	404083	MOT1
YHL030W	YHL030W	VIII	40084	45690	ECM29
YLR419W	YLR419W	XII	958428	962735	
YMR036C	YMR036C	XIII	341856	343520	MIH1
YOR213C	YOR213C	XV	744535	745281	SAS5
YDR352W	YDR352W	IV	1181801	1182754	YPQ2
YPR137C-A	YPR137C-A	XVI	808947	810269	
YCR038W-A	YCR038W-A	III	199293	199418	
YCR025C	YCR025C	III	163446	163856	
YBL006C	YBL006C	II	216587	217129	LDB7
YEL021W	YEL021W	V	116167	116970	URA3
YOR090C	YOR090C	XV	491123	492841	PTC5
YIL014W	YIL014W	IX	326103	327995	MNT3
YCR028C-A	YCR028C-A	III	172950	173440	RIM1
YDR422C	YDR422C	IV	1315326	1317773	SIP1
YNL183C	YNL183C	XIV	293137	295509	NPR1
YLR144C	YLR144C	XII	429677	432016	ACF2
YNR071C	YNR071C	XIV	770440	771468	
YGR146C-A	YGR146C-A	VII	785276	785437	
YEL071W	YEL071W	V	16355	17845	DLD3
YLR324W	YLR324W	XII	779215	780786	PEX30
YLR389C	YLR389C	XII	899577	902660	STE23
YNL263C	YNL263C	XIV	146896	147840	YIF1
YPR030W	YPR030W	XVI	627880	631245	CSR2
YOL103W-B	YOL103W-B	XV	118000	123268	
YIL073C	YIL073C	IX	222937	225954	SPO22
YPR154W	YPR154W	XVI	834565	835212	PIN3
YDR303C	YDR303C	IV	1068729	1071386	RSC3
YKL148C	YKL148C	XI	169207	171129	SDH1
YGL186C	YGL186C	VII	151037	152776	TPN1
YBL029W	YBL029W	II	166134	167264	
YER162C	YER162C	V	500630	502894	RAD4
YER046W	YER046W	V	243180	243611	SPO73
YER188C-A	YER188C-A	V	569608	569907	
YDR130C	YDR130C	IV	715747	716622	FIN1
YBR005W	YBR005W	II	245906	246547	RCR1
YKL058W	YKL058W	XI	330166	330534	TOA2
YAL019W-A	YAL019W-A	I	114250	114819	
YDR154C	YDR154C	IV	768403	768753	
YDR535C	YDR535C	IV	1506606	1507362	
YJR005W	YJR005W	X	445923	448025	APL1
YPR023C	YPR023C	XVI	608826	610031	EAF3
YMR071C	YMR071C	XIII	410762	411265	TVP18
YOR367W	YOR367W	XV	1026007	1026609	SCP1
YBL018C	YBL018C	II	185998	186474	POP8
YIL155C	YIL155C	IX	51759	53708	GUT2
YJR099W	YJR099W	X	615576	616286	YUH1
YGL016W	YGL016W	VII	461666	464911	KAP122
YOR321W	YOR321W	XV	916030	918291	PMT3
YHR203C	YHR203C	VIII	504476	505530	RPS4B
YCL018W	YCL018W	III	91324	92418	LEU2
YIL090W	YIL090W	IX	193595	195070	ICE2
YER147C	YER147C	V	462968	464842	SCC4
YJR109C	YJR109C	X	629585	632941	CPA2
YKL068W	YKL068W	XI	310199	313078	NUP100
YNL176C	YNL176C	XIV	305070	306980	TDA7
YIL096C	YIL096C	IX	182117	183127	BMT5
YGR045C	YGR045C	VII	583934	584296	
YAL064C-A	YAL064C-A	I	13363	13743	TDA8
YDR362C	YDR362C	IV	1196679	1198697	TFC6
YDR454C	YDR454C	IV	1366264	1366827	GUK1
YJL187C	YJL187C	X	76803	79262	SWE1
YGR202C	YGR202C	VII	903474	904748	PCT1
YDR056C	YDR056C	IV	565023	565640	
YFL061W	YFL061W	VI	9545	10222	DDI2
YDR408C	YDR408C	IV	1288215	1288859	ADE8
YDL019C	YDL019C	IV	417663	421514	OSH2
YDR297W	YDR297W	IV	1056551	1057600	SUR2
YKL112W	YKL112W	XI	226570	228765	ABF1
YKR095W-A	YKR095W-A	XI	625864	626205	PCC1
YCR001W	YCR001W	III	115685	115999	
YBR103W	YBR103W	II	447709	449316	SIF2
YNL144W-A	YNL144W-A	XIV	353061	353144	
YER041W	YER041W	V	232461	234740	YEN1
YOL026C	YOL026C	XV	274012	274353	MIM1
YDR440W	YDR440W	IV	1342493	1344241	DOT1
YJL225W-A	YJL225W-A	X	829	1311	
YOL121C	YOL121C	XV	92026	92850	RPS19A
YLR420W	YLR420W	XII	963785	964879	URA4
YNL151C	YNL151C	XIV	347766	348521	RPC31
Q0144	Q0144	Mito	54109	54438	
YCL016C	YCL016C	III	94621	95763	DCC1
YLR462W	YLR462W	XII	1065956	1066564	
YHR100C	YHR100C	VIII	314116	314673	GEP4
YOR055W	YOR055W	XV	429478	429912	
YPR046W	YPR046W	XVI	656799	657344	MCM16
YBR097W	YBR097W	II	436951	441315	VPS15
YOR102W	YOR102W	XV	516423	516773	
YNR028W	YNR028W	XIV	676177	677103	CPR8
YLR298C	YLR298C	XII	724721	725416	YHC1
YGR109W-B	YGR109W-B	VII	707610	712254	
YJR117W	YJR117W	X	642007	643368	STE24
YLL052C	YLL052C	XII	35912	36361	AQY2
YOL098C	YOL098C	XV	132725	135838	
YOR271C	YOR271C	XV	831059	832042	FSF1
YOR149C	YOR149C	XV	609838	611388	SMP3
YLL006W	YLL006W	XII	136586	137866	MMM1
YDR289C	YDR289C	IV	1038280	1039509	RTT103
YDR166C	YDR166C	IV	786306	789221	SEC5
YIL028W	YIL028W	IX	302100	302498	
YDL028C	YDL028C	IV	400997	403291	MPS1
YDR319C	YDR319C	IV	1105003	1105827	YFT2
YGL211W	YGL211W	VII	92512	93591	NCS6
YMR304C-A	YMR304C-A	XIII	878780	879130	
YKL133C	YKL133C	XI	191679	193070	
YDL194W	YDL194W	IV	111580	114234	SNF3
YNL137C	YNL137C	XIV	368595	370055	NAM9
YKR014C	YKR014C	XI	465367	466071	YPT52
YDL176W	YDL176W	IV	142097	144223	
YDR487C	YDR487C	IV	1428354	1428980	RIB3
YLR346C	YLR346C	XII	822287	822592	
YIL135C	YIL135C	IX	95065	96375	VHS2
YLR209C	YLR209C	XII	560797	561732	PNP1
YOR084W	YOR084W	XV	480587	481750	LPX1
YOL166W-A	YOL166W-A	XV	585	740	
YPR028W	YPR028W	XVI	623527	624202	YOP1
YIL115W-A	YIL115W-A	IX	144268	144639	
YLR093C	YLR093C	XII	326513	327415	NYV1
YLR342W	YLR342W	XII	809997	815627	FKS1
YEL061C	YEL061C	V	36535	39537	CIN8
YLR254C	YLR254C	XII	644404	644973	NDL1
YKL049C	YKL049C	XI	346075	346764	CSE4
YBR091C	YBR091C	II	427155	427484	TIM12
YOR166C	YOR166C	XV	647126	648502	SWT1
YHR166C	YHR166C	VIII	437170	439050	CDC23
YLR277C	YLR277C	XII	697156	699495	YSH1
YLR154W-C	YLR154W-C	XII	454696	455070	TAR1
YPL089C	YPL089C	XVI	379120	381150	RLM1
YNL167C	YNL167C	XIV	319416	321359	SKO1
YNL006W	YNL006W	XIV	620067	620978	LST8
YKL156W	YKL156W	XI	158613	159212	RPS27A
YFR052W	YFR052W	VI	252505	253329	RPN12
YFL060C	YFL060C	VI	10301	10969	SNO3
YGR203W	YGR203W	VII	905237	905683	YCH1
YJR005C-A	YJR005C-A	X	448477	448758	LSO1
YGL248W	YGL248W	VII	35653	36762	PDE1
YLL005C	YLL005C	XII	137940	140546	SPO75
YGL228W	YGL228W	VII	67598	69331	SHE10
YOR226C	YOR226C	XV	761614	762084	ISU2
YLR162W-A	YLR162W-A	XII	490406	490594	RRT15
YPR035W	YPR035W	XVI	642208	643320	GLN1
YMR015C	YMR015C	XIII	300869	302485	ERG5
YJL169W	YJL169W	X	102099	102467	
YFL014W	YFL014W	VI	107256	107585	HSP12
YKL078W	YKL078W	XI	288845	291052	DHR2
YDR155C	YDR155C	IV	768512	769000	CPR1
YER074W-A	YER074W-A	V	307653	308123	YOS1
YDL076C	YDL076C	IV	320668	321552	RXT3
YFL029C	YFL029C	VI	78055	79161	CAK1
YOR193W	YOR193W	XV	710446	711576	PEX27
YGL194C-A	YGL194C-A	VII	139719	139961	
YKR075W-A	YKR075W-A	XI	580212	580481	
YGR201C	YGR201C	VII	902520	903197	
YJL051W	YJL051W	X	339787	342255	IRC8
YHR049W	YHR049W	VIII	206462	207193	FSH1
YIL163C	YIL163C	IX	36899	37252	
YBL039W-B	YBL039W-B	II	143393	143572	
YDR420W	YDR420W	IV	1306267	1311675	HKR1
YDL197C	YDL197C	IV	104917	106494	ASF2
YNL089C	YNL089C	XIV	456693	457169	
YCR024C	YCR024C	III	160744	162222	SLM5
YER086W	YER086W	V	328477	330207	ILV1
YMR289W	YMR289W	XIII	848685	849809	ABZ2
YDR186C	YDR186C	IV	832859	835492	
YDR529C	YDR529C	IV	1496165	1496548	QCR7
YBR072W	YBR072W	II	382030	382674	HSP26
YDR018C	YDR018C	IV	482670	483860	
YPL104W	YPL104W	XVI	355700	357676	MSD1
YMR227C	YMR227C	XIII	722613	724385	TAF7
YKL026C	YKL026C	XI	389380	389883	GPX1
YML071C	YML071C	XIII	129749	131572	COG8
YCL024W	YCL024W	III	79162	82275	KCC4
YNL038W	YNL038W	XIV	557020	557783	GPI15
YOL097W-A	YOL097W-A	XV	136220	136405	
YMR218C	YMR218C	XIII	703579	706887	TRS130
YGR044C	YGR044C	VII	582990	583892	RME1
YOR079C	YOR079C	XV	473475	474416	ATX2
YOR121C	YOR121C	XV	551798	552103	
YPL223C	YPL223C	XVI	128632	129138	GRE1
YKL223W	YKL223W	XI	2389	2721	
YBL073W	YBL073W	II	87646	87957	
YPL250C	YPL250C	XVI	74309	74719	ICY2
YGL232W	YGL232W	VII	62075	63002	TAN1
YGL213C	YGL213C	VII	90054	91247	SKI8
YKL017C	YKL017C	XI	405190	407241	HCS1
YGL101W	YGL101W	VII	312193	312840	
YMR152W	YMR152W	XIII	563096	564193	YIM1
YBR157C	YBR157C	II	553543	554310	ICS2
YNL083W	YNL083W	XIV	471377	472861	SAL1
YMR061W	YMR061W	XIII	392755	394788	RNA14
YPL117C	YPL117C	XVI	327864	328730	IDI1
YGL189C	YGL189C	VII	148229	148588	RPS26A
YDR157W	YDR157W	IV	769931	770332	
YOR311C	YOR311C	XV	899056	899928	DGK1
YMR293C	YMR293C	XIII	855399	856793	HER2
YIR026C	YIR026C	IX	404873	405967	YVH1
YCL031C	YCL031C	III	64675	65568	RRP7
YDR259C	YDR259C	IV	974631	975782	YAP6
YGL151W	YGL151W	VII	217524	220922	NUT1
YGL042C	YGL042C	VII	418288	418593	
YGL095C	YGL095C	VII	328874	330607	VPS45
YJR093C	YJR093C	X	603220	604203	FIP1
YHR096C	YHR096C	VIII	294669	296447	HXT5
YDR488C	YDR488C	IV	1429188	1430789	PAC11
YOR308C	YOR308C	XV	894624	896387	SNU66
YPR169W	YPR169W	XVI	878690	880168	JIP5
YBL091C-A	YBL091C-A	II	46565	47180	SCS22
YEL051W	YEL051W	V	58378	59148	VMA8
YPL195W	YPL195W	XVI	176223	179021	APL5
YMR165C	YMR165C	XIII	590040	592628	PAH1
YPR010C-A	YPR010C-A	XVI	582373	582734	
YGR015C	YGR015C	VII	521090	522076	
YNL067W-B	YNL067W-B	XIV	499417	499557	
YMR106C	YMR106C	XIII	478301	480190	YKU80
YBR202W	YBR202W	II	625772	628309	MCM7
YKL052C	YKL052C	XI	339668	340546	ASK1
YHR180C-B	YHR180C-B	VIII	466958	467062	
YPL259C	YPL259C	XVI	51244	52671	APM1
YIR020C	YIR020C	IX	394255	394557	
YKL140W	YKL140W	XI	180779	182425	TGL1
YER087C-A	YER087C-A	V	331817	332368	
YFL050C	YFL050C	VI	33272	35848	ALR2
YMR212C	YMR212C	XIII	690695	693043	EFR3
YKR010C	YKR010C	XI	458924	461239	TOF2
YLR448W	YLR448W	XII	1028854	1029768	RPL6B
YNL155W	YNL155W	XIV	342516	343340	CUZ1
YFR051C	YFR051C	VI	250163	251803	RET2
YLL063C	YLL063C	XII	14648	16072	AYT1
YLR005W	YLR005W	XII	160049	161434	SSL1
YGR043C	YGR043C	VII	580435	581436	NQM1
YBR285W	YBR285W	II	773922	774356	
YMR254C	YMR254C	XIII	777615	777923	
YKL124W	YKL124W	XI	210593	212332	SSH4
YNR007C	YNR007C	XIV	639182	640114	ATG3
YLR275W	YLR275W	XII	694378	694800	SMD2
YDL022W	YDL022W	IV	411825	413000	GPD1
YER024W	YER024W	V	202192	204963	YAT2
YOL101C	YOL101C	XV	126982	127920	IZH4
YAL066W	YAL066W	I	10091	10399	
YJL183W	YJL183W	X	84068	85336	MNN11
YBR189W	YBR189W	II	604508	605508	RPS9B
YJR125C	YJR125C	X	654737	655963	ENT3
YOL033W	YOL033W	XV	263475	265085	MSE1
YML126C	YML126C	XIII	19060	20535	ERG13
YMR069W	YMR069W	XIII	407709	408566	NAT4
YLR258W	YLR258W	XII	660716	662833	GSY2
YBL085W	YBL085W	II	63876	66818	BOI1
YMR288W	YMR288W	XIII	845571	848486	HSH155
YHR176W	YHR176W	VIII	454229	455527	FMO1
YOR327C	YOR327C	XV	930734	931081	SNC2
YNR027W	YNR027W	XIV	674923	675876	BUD17
YJR100C	YJR100C	X	616351	617334	AIM25
YCR060W	YCR060W	III	224399	224734	TAH1
YLR130C	YLR130C	XII	402794	404062	ZRT2
YDR234W	YDR234W	IV	931129	933210	LYS4
YAL062W	YAL062W	I	31567	32940	GDH3
YOR164C	YOR164C	XV	643394	644332	GET4
YFR032C	YFR032C	VI	222090	222959	RRT5
YBL014C	YBL014C	II	199064	201748	RRN6
YER148W	YER148W	V	465303	466025	SPT15
YLR402W	YLR402W	XII	924889	925080	
YOR376W-A	YOR376W-A	XV	1045196	1045351	
YBL101C	YBL101C	II	24946	28299	ECM21
YDR005C	YDR005C	IV	456836	458103	MAF1
YHL021C	YHL021C	VIII	64462	65859	AIM17
YKR016W	YKR016W	XI	469717	471339	MIC60
YPL232W	YPL232W	XVI	107275	108147	SSO1
YPR133C	YPR133C	XVI	795978	797210	SPN1
YDL163W	YDL163W	IV	166956	167258	
YPR182W	YPR182W	XVI	900194	900454	SMX3
YNL245C	YNL245C	XIV	186346	186885	CWC25
YHR074W	YHR074W	VIII	246193	248337	QNS1
YPL215W	YPL215W	XVI	147416	148423	CBP3
YIR028W	YIR028W	IX	408468	410375	DAL4
YPR170C	YPR170C	XVI	882983	883318	
YDR545W	YDR545W	IV	1526321	1531711	YRF1-1
YCL059C	YCL059C	III	22429	23379	KRR1
YAL037W	YAL037W	I	74020	74823	
YER003C	YER003C	V	157736	159118	PMI40
YJL119C	YJL119C	X	191572	191895	
YML046W	YML046W	XIII	181474	183363	PRP39
YOL050C	YOL050C	XV	237882	238202	
YMR085W	YMR085W	XIII	437491	438789	
YCR040W	YCR040W	III	200442	200969	MATALPHA1
YCL034W	YCL034W	III	61658	62722	LSB5
YFL039C	YFL039C	VI	53260	54696	ACT1
YHR188C	YHR188C	VIII	482005	483837	GPI16
YOL080C	YOL080C	XV	180558	181427	REX4
YER127W	YER127W	V	414481	415554	LCP5
YPL091W	YPL091W	XVI	375502	376953	GLR1
YJR090C	YJR090C	X	590872	594327	GRR1
YJL097W	YJL097W	X	245591	246244	PHS1
YFL031W	YFL031W	VI	75179	76147	HAC1
YCL011C	YCL011C	III	102075	103358	GBP2
YPL059W	YPL059W	XVI	444579	445031	GRX5
YGL050W	YGL050W	VII	405776	406597	TYW3
YLR164W	YLR164W	XII	493883	494389	SHH4
YDL093W	YDL093W	IV	289909	292140	PMT5
YAL055W	YAL055W	I	42177	42719	PEX22
YDL174C	YDL174C	IV	145826	147589	DLD1
YMR022W	YMR022W	XIII	318680	319177	UBC7
YBR261C	YBR261C	II	734832	735530	TAE1
YLR263W	YLR263W	XII	670340	672823	RED1
YBL042C	YBL042C	II	138341	140260	FUI1
YKL125W	YKL125W	XI	208247	210130	RRN3
YEL034W	YEL034W	V	85676	86149	HYP2
YHR135C	YHR135C	VIII	372694	374310	YCK1
YML112W	YML112W	XIII	45063	45953	CTK3
YDL099W	YDL099W	IV	283419	284444	BUG1
YGR077C	YGR077C	VII	637744	639513	PEX8
YDR285W	YDR285W	IV	1032436	1035063	ZIP1
YGR285C	YGR285C	VII	1061852	1063153	ZUO1
YDR028C	YDR028C	IV	497835	500879	REG1
YPL236C	YPL236C	XVI	101608	102702	ENV7
YDR163W	YDR163W	IV	781423	781950	CWC15
YFL025C	YFL025C	VI	84145	87234	BST1
YDR094W	YDR094W	IV	635840	636175	
YJR133W	YJR133W	X	672991	673620	XPT1
YKL171W	YKL171W	XI	127475	130261	NNK1
YJR073C	YJR073C	X	572315	572935	OPI3
YPR158W-A	YPR158W-A	XVI	844709	846031	
YKL075C	YKL075C	XI	292956	294308	
YGR134W	YGR134W	VII	757770	761138	CAF130
YPL101W	YPL101W	XVI	360209	361579	ELP4
YBL105C	YBL105C	II	14241	17696	PKC1
YBL025W	YBL025W	II	171481	171918	RRN10
YLR198C	YLR198C	XII	547286	547645	
YJR107W	YJR107W	X	627340	628326	
YDR434W	YDR434W	IV	1331237	1332841	GPI17
YKL005C	YKL005C	XI	433093	434877	BYE1
YNL326C	YNL326C	XIV	27337	28347	PFA3
YOR021C	YOR021C	XV	372798	373439	SFM1
YKR047W	YKR047W	XI	525257	525562	
YIL079C	YIL079C	IX	210923	212005	AIR1
YDL041W	YDL041W	IV	378102	378455	
YDR177W	YDR177W	IV	816878	817525	UBC1
YGL124C	YGL124C	VII	274780	276714	MON1
YBR183W	YBR183W	II	596115	597065	YPC1
YNR029C	YNR029C	XIV	677199	678488	
YOL018C	YOL018C	XV	290881	292074	TLG2
YAR002W	YAR002W	I	152257	153876	NUP60
YIL063C	YIL063C	IX	242761	243744	YRB2
YNL296W	YNL296W	XIV	76273	76587	
YDR417C	YDR417C	IV	1301555	1301926	
YOR263C	YOR263C	XV	818757	819164	
YPL010W	YPL010W	XVI	535018	535587	RET3
YER180C	YER180C	V	549724	550527	ISC10
YPR186C	YPR186C	XVI	909733	911022	PZF1
YPL079W	YPL079W	XVI	406636	407539	RPL21B
YHR054W-A	YHR054W-A	VIII	214508	214702	
YLR030W	YLR030W	XII	203290	204081	
YHR182W	YHR182W	VIII	468219	470576	
YMR081C	YMR081C	XIII	430079	431095	ISF1
YBR131C-A	YBR131C-A	II	497650	497739	
YHR167W	YHR167W	VIII	439342	440127	THP2
YER137C	YER137C	V	441373	441819	
YBL031W	YBL031W	II	161699	162715	SHE1
YLR098C	YLR098C	XII	337527	339473	CHA4
YEL056W	YEL056W	V	47168	48373	HAT2
YEL066W	YEL066W	V	26667	27206	HPA3
YOR056C	YOR056C	XV	430247	431626	NOB1
YBL091C	YBL091C	II	47363	48628	MAP2
YEL034C-A	YEL034C-A	V	85613	86215	
YFR033C	YFR033C	VI	224326	224769	QCR6
YGL205W	YGL205W	VII	108158	110404	POX1
YDR194C	YDR194C	IV	845952	847946	MSS116
YOR393W	YOR393W	XV	1080276	1081589	ERR1
YHR022C-A	YHR022C-A	VIII	151217	151306	
YHR165W-A	YHR165W-A	VIII	436647	436958	
YLR300W	YLR300W	XII	728955	730301	EXG1
YDR350C	YDR350C	IV	1176120	1178174	ATP22
YDL173W	YDL173W	IV	148191	149078	PAR32
YMR017W	YMR017W	XIII	307489	308682	SPO20
YMR251W	YMR251W	XIII	772915	774015	GTO3
YDR473C	YDR473C	IV	1404445	1405854	PRP3
YOR141C	YOR141C	XV	589942	592587	ARP8
YIL088C	YIL088C	IX	197931	199403	AVT7
YDL057W	YDL057W	IV	351434	352420	
YIR031C	YIR031C	IX	413015	414679	DAL7
